Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","30130",Ch1Unknown,"HbS",,4.52,ddPCR Supermix for Probes (no dUTP),,4.77,4.26,4.77,4.27,1291,335346,6,1285,1339,334007,0.00297,336637,,,,,,,,0.96,1.03,0.85,1.03,0.89,49,50.9,47,50.9,47.1,1,1,,,,,"","(A07,B07,C07,D07,E07,F07,G07,H07,A08,B08,C08,D08,E08,F08,G08,H08)",4.65,4.39,4.65,4.39,,,,,1,0.89,0.997,0.922,49.9,48,49.9,48,
"M01",Absolute Quantification,"ABS","30130",Ch2Unknown,"HbA",,4.71,ddPCR Supermix for Probes (no dUTP),,4.96,4.46,4.96,4.46,1345,335292,6,1285,1339,334007,0.00297,336637,,,,,,,,0.96,1.03,0.85,1.03,0.89,49,50.9,47,50.9,47.1,1,1,,,,,"","(A07,B07,C07,D07,E07,F07,G07,H07,A08,B08,C08,D08,E08,F08,G08,H08)",4.84,4.58,4.84,4.58,,,,,1,0.89,0.997,0.922,49.9,48,49.9,48,
"A07",Absolute Quantification,"ABS","30130",Ch1Unknown,"HbS","Manual",5.6,ddPCR Supermix for Probes (no dUTP),112,,,6.7,4.5,103,21683,0,103,86,21597,0,21786,,,,,,,,1.2,,,1.54,0.85,55,,,62,47,1,1,2083,4359.3,946.33,962.46,"",,,,6.1,5,,,,,,,1.37,1.02,,,58.1,50.9,
"B07",Absolute Quantification,"ABS","30130",Ch1Unknown,"HbS","Manual",4,ddPCR Supermix for Probes (no dUTP),80,,,5,3.2,73,21300,1,72,104,21196,0.0356,21373,,,,,,,,0.69,,,0.9,0.49,41,,,48,34,1,1,2083,4337.1,950.8,962.37,"",,,,4.51,3.57,,,,,,,0.8,0.59,,,44.7,37.3,
"C07",Absolute Quantification,"ABS","30130",Ch1Unknown,"HbS","Manual",4.5,ddPCR Supermix for Probes (no dUTP),90,,,5.6,3.6,78,20181,0,78,85,20096,0,20259,,,,,,,,0.92,,,1.2,0.63,48,,,56,40,1,1,2083,4359.9,952.59,965.71,"",,,,5.1,4,,,,,,,1.06,0.77,,,51.8,43.9,
"D07",Absolute Quantification,"ABS","30130",Ch1Unknown,"HbS","Manual",4.8,ddPCR Supermix for Probes (no dUTP),96,,,5.9,3.8,84,20530,1,83,81,20449,0.0383,20614,,,,,,,,1.02,,,1.34,0.71,51,,,58,43,1,1,2083,4423,940.52,954.71,"",,,,5.3,4.3,,,,,,,1.18,0.87,,,54.5,46.7,
"E07",Absolute Quantification,"ABS","30130",Ch1Unknown,"HbS","Manual",5.1,ddPCR Supermix for Probes (no dUTP),102,,,6.2,4.1,92,21353,0,92,89,21264,0,21445,,,,,,,,1.03,,,1.34,0.73,51,,,58,44,1,1,2083,4367.6,940.04,954.75,"",,,,5.6,4.6,,,,,,,1.19,0.88,,,54.5,47.1,
"F07",Absolute Quantification,"ABS","30130",Ch1Unknown,"HbS","Manual",5,ddPCR Supermix for Probes (no dUTP),100,,,6.1,4.1,92,21505,1,91,87,21418,0.0343,21597,,,,,,,,1.05,,,1.35,0.74,51,,,58,44,1,1,2083,4338.3,950.46,964.89,"",,,,5.6,4.5,,,,,,,1.2,0.89,,,54.8,47.4,
"G07",Absolute Quantification,"ABS","30130",Ch1Unknown,"HbS","Manual",3.8,ddPCR Supermix for Probes (no dUTP),76,,,4.8,2.9,66,20541,0,66,85,20456,0,20607,,,,,,,,0.78,,,1.03,0.53,44,,,52,36,1,1,2083,4275.5,950.17,960.82,"",,,,4.26,3.33,,,,,,,0.9,0.65,,,47.7,39.7,
"H07",Absolute Quantification,"ABS","30130",Ch1Unknown,"HbS","Manual",4.5,ddPCR Supermix for Probes (no dUTP),90,,,5.6,3.6,80,20842,0,80,69,20773,0,20922,,,,,,,,1.16,,,1.53,0.78,54,,,62,46,1,1,2083,4362.8,934.69,947.8,"",,,,5,4,,,,,,,1.35,0.97,,,57.8,49.6,
"A08",Absolute Quantification,"ABS","30130",Ch1Unknown,"HbS","Manual",4.8,ddPCR Supermix for Probes (no dUTP),96,,,5.9,3.9,88,21578,0,88,89,21489,0,21666,,,,,,,,0.99,,,1.28,0.7,50,,,57,42,1,1,2083,4251.4,934.7,948.17,"",,,,5.3,4.3,,,,,,,1.14,0.84,,,53.5,46,
"B08",Absolute Quantification,"ABS","30130",Ch1Unknown,"HbS","Manual",4.3,ddPCR Supermix for Probes (no dUTP),86,,,5.3,3.4,79,21465,0,79,75,21390,0,21544,,,,,,,,1.05,,,1.39,0.72,51,,,59,43,1,1,2083,4270.5,935.64,947.87,"",,,,4.83,3.86,,,,,,,1.22,0.88,,,55.3,47.3,
