Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","13751",Ch1Unknown,"HbS",,46.2,ddPCR Supermix for Probes (no dUTP),,47.5,44.9,47.5,44.9,4955,123720,211,4744,5551,118169,0,128675,,,,,,,,0.857,0.891,0.819,0.89,0.825,46.2,47.2,45.1,47.1,45.2,1,1,,,,,"","(A01,B01,C01,D01,E01,F01)",46.9,45.5,46.9,45.5,,,,,0.874,0.836,0.874,0.841,46.7,45.6,46.64,45.67,
"M02",Absolute Quantification,"ABS","19RG-220G0190",Ch1Unknown,"HbS",,346,ddPCR Supermix for Probes (no dUTP),,355,338,353,340,10374,30294,2672,7702,7769,22525,0.45,40668,,,,,,,,0.993,1.02,0.965,1.02,0.965,49.8,50.5,49.1,50.5,49.1,1,1,,,,,"","(G01,H01)",350.9,342,349.9,343.1,,,,,1.006,0.979,1.006,0.979,50.16,49.46,50.16,49.46,
"M03",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS",,0.03,ddPCR Supermix for Probes (no dUTP),,0.13,-0.03,0.13,0,1,42738,1,0,0,42738,0.0275,42739,,,,,,,,1,,,4.3,0,50,,,130,0,1,1,,,,,"","(A02,B02)",0.069,0,0.069,0.007,,,,,,,2.6,0,,,89,11,
"M01",Absolute Quantification,"ABS","13751",Ch2Unknown,"HbA",,53.9,ddPCR Supermix for Probes (no dUTP),,55.3,52.5,55.3,52.5,5762,122913,211,4744,5551,118169,0,128675,,,,,,,,0.857,0.891,0.819,0.89,0.825,46.2,47.2,45.1,47.1,45.2,1,1,,,,,"","(A01,B01,C01,D01,E01,F01)",54.6,53.2,54.6,53.2,,,,,0.874,0.836,0.874,0.841,46.7,45.6,46.64,45.67,
"M02",Absolute Quantification,"ABS","19RG-220G0190",Ch2Unknown,"HbA",,349,ddPCR Supermix for Probes (no dUTP),,358,340,356,342,10441,30227,2672,7702,7769,22525,0.45,40668,,,,,,,,0.993,1.02,0.965,1.02,0.965,49.8,50.5,49.1,50.5,49.1,1,1,,,,,"","(G01,H01)",353.6,344.5,352.5,345.6,,,,,1.006,0.979,1.006,0.979,50.16,49.46,50.16,49.46,
"M03",Absolute Quantification,"ABS","NTC",Ch2Unknown,"HbA",,0.03,ddPCR Supermix for Probes (no dUTP),,0.13,-0.03,0.13,0,1,42738,1,0,0,42738,0.0275,42739,,,,,,,,1,,,4.3,0,50,,,130,0,1,1,,,,,"","(A02,B02)",0.069,0,0.069,0.007,,,,,,,2.6,0,,,89,11,
"A01",Absolute Quantification,"ABS","13751",Ch1Unknown,"HbS","Manual",49.1,ddPCR Supermix for Probes (no dUTP),982,,,52.3,45.9,908,21320,42,866,911,20409,0.177,22228,,,,,,,,0.95,,,1.04,0.87,48.8,,,51,46.5,1,1,2622,5612.7,1005.5,1193.7,"",,,,50.7,47.4,,,,,,,0.996,0.908,,,49.9,47.6,
"B01",Absolute Quantification,"ABS","13751",Ch1Unknown,"HbS","Manual",45,ddPCR Supermix for Probes (no dUTP),900,,,48.1,41.9,808,20708,34,774,931,19777,0,21516,,,,,,,,0.83,,,0.91,0.76,45.5,,,47.8,43.2,1,1,2622,5543.5,1037.4,1206.6,"",,,,46.6,43.4,,,,,,,0.874,0.794,,,46.7,44.3,
"C01",Absolute Quantification,"ABS","13751",Ch1Unknown,"HbS","Manual",46.9,ddPCR Supermix for Probes (no dUTP),938,,,50.2,43.6,792,19475,35,757,905,18570,0,20267,,,,,,,,0.84,,,0.92,0.76,45.6,,,48,43.3,1,1,2622,5630.6,1027,1206.9,"",,,,48.6,45.2,,,,,,,0.88,0.799,,,46.8,44.4,
"D01",Absolute Quantification,"ABS","13751",Ch1Unknown,"HbS","Manual",45.5,ddPCR Supermix for Probes (no dUTP),910,,,48.6,42.4,827,20976,40,787,963,20013,0.115,21803,,,,,,,,0.82,,,0.9,0.75,45.1,,,47.4,42.8,1,1,2622,5686.8,1015.6,1192.8,"",,,,47.1,43.9,,,,,,,0.86,0.783,,,46.3,43.9,
"E01",Absolute Quantification,"ABS","13751",Ch1Unknown,"HbS","Manual",44.9,ddPCR Supermix for Probes (no dUTP),898,,,48,41.8,820,21079,25,795,947,20132,0,21899,,,,,,,,0.84,,,0.92,0.76,45.7,,,48,43.4,1,1,2622,5785.4,1046.3,1223.8,"",,,,46.5,43.3,,,,,,,0.88,0.801,,,46.8,44.5,
"F01",Absolute Quantification,"ABS","13751",Ch1Unknown,"HbS","Manual",45.8,ddPCR Supermix for Probes (no dUTP),916,,,49,42.6,800,20162,35,765,894,19268,0,20962,,,,,,,,0.86,,,0.94,0.78,46.2,,,48.5,43.8,1,1,2622,5765.9,1044.6,1224.8,"",,,,47.4,44.2,,,,,,,0.9,0.817,,,47.4,45,
"G01",Absolute Quantification,"ABS","19RG-220G0190",Ch1Unknown,"HbS","Manual",351,ddPCR Supermix for Probes (no dUTP),7020,,,360,341,5265,15148,1381,3884,3918,11230,1.49,20413,,,,,,,,0.993,,,1.031,0.955,49.8,,,50.8,48.9,1,1,2851,7048,1247.3,2743.4,"",,,,355.8,346.1,,,,,,,1.012,0.973,,,50.3,49.32,
"H01",Absolute Quantification,"ABS","19RG-220G0190",Ch1Unknown,"HbS","Manual",342,ddPCR Supermix for Probes (no dUTP),6840,,,351,333,5109,15146,1291,3818,3851,11295,0,20255,,,,,,,,0.993,,,1.031,0.954,49.8,,,50.8,48.8,1,1,2851,7142.6,1248.7,2735.3,"",,,,346.8,337.2,,,,,,,1.012,0.973,,,50.31,49.32,
"A02",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS","Manual",0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.27,0,1,21042,1,0,0,21042,0.0559,21043,,,,,,,,1,,,4.3,0,50,,,130,0,1,1,2851,13816,999,999.61,"",,,,0.14,0.02,,,,,,,2.6,0,,,89,11,
"B02",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.16,0,0,21696,0,0,0,21696,0,21696,,,,,,,,,,,,,,,,,,1,1,2851,0,970.94,970.94,"",,,,0.074,0,,,,,,,,,,,,,
