Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","13751",Ch1Unknown,"rs1941702_G",,4.48,ddPCR Supermix for Probes (no dUTP),,5.1,4,4.92,4.03,389,102066,41,348,8410,93656,0.112,102455,,,,,,,,0.0442,0.05,0.038,0.0487,0.0397,4.23,4.8,3.6,4.64,3.82,1,1,,,,,"","(C02,D02,E02,F02,G02)",4.79,4.23,4.7,4.25,,,,,0.0471,0.0407,0.0465,0.0419,4.51,3.92,4.44,4.02,
"M02",Absolute Quantification,"ABS","19RG-347G0040",Ch1Unknown,"rs1941702_G",,311,ddPCR Supermix for Probes (no dUTP),,317,304,317,304,9653,31939,2286,7367,7416,24523,1.65,41592,,,,,,,,0.994,1.022,0.966,1.022,0.966,49.9,50.6,49.1,50.6,49.1,1,1,,,,,"","(H02,A03)",313.9,307.5,313.9,307.5,,,,,1.009,0.98,1.009,0.98,50.22,49.49,50.22,49.49,
"M03",Absolute Quantification,"ABS","NTC",Ch1Unknown,"rs1941702_G",,0,ddPCR Supermix for Probes (no dUTP),,0.084,0,0.084,0,0,42204,0,0,0,42204,0,42204,,,,,,,,0,,,0,0,0,,,0,0,1,1,,,,,"","(B03,C03)",0.038,0,0.038,0,,,,,,,0,0,,,0,0,
"M01",Absolute Quantification,"ABS","13751",Ch2Unknown,"rs1941702_C",,101.3,ddPCR Supermix for Probes (no dUTP),,106,96,103.4,99.1,8451,94004,41,348,8410,93656,0.112,102455,,,,,,,,0.0442,0.05,0.038,0.0487,0.0397,4.23,4.8,3.6,4.64,3.82,1,1,,,,,"","(C02,D02,E02,F02,G02)",103.8,98.5,102.4,100.2,,,,,0.0471,0.0407,0.0465,0.0419,4.51,3.92,4.44,4.02,
"M02",Absolute Quantification,"ABS","19RG-347G0040",Ch2Unknown,"rs1941702_C",,312,ddPCR Supermix for Probes (no dUTP),,319,306,319,306,9702,31890,2286,7367,7416,24523,1.65,41592,,,,,,,,0.994,1.022,0.966,1.022,0.966,49.9,50.6,49.1,50.6,49.1,1,1,,,,,"","(H02,A03)",315.7,309.3,315.7,309.3,,,,,1.009,0.98,1.009,0.98,50.22,49.49,50.22,49.49,
"M03",Absolute Quantification,"ABS","NTC",Ch2Unknown,"rs1941702_C",,0,ddPCR Supermix for Probes (no dUTP),,0.084,0,0.084,0,0,42204,0,0,0,42204,0,42204,,,,,,,,0,,,0,0,0,,,0,0,1,1,,,,,"","(B03,C03)",0.038,0,0.038,0,,,,,,,0,0,,,0,0,
"C02",Absolute Quantification,"ABS","13751",Ch1Unknown,"rs1941702_G","Manual",3.8,ddPCR Supermix for Probes (no dUTP),76,,,4.8,3,72,22134,11,61,1824,20310,0.293,22206,,,,,,,,0.038,,,0.047,0.029,3.6,,,4.5,2.8,1,1,4407,14724,1432.9,1476,"",,,,4.29,3.39,,,,,,,0.0422,0.0331,,,4.05,3.21,
"D02",Absolute Quantification,"ABS","13751",Ch1Unknown,"rs1941702_G","Manual",4.7,ddPCR Supermix for Probes (no dUTP),94,,,5.8,3.8,82,20438,10,72,1737,18701,0.19,20520,,,,,,,,0.045,,,0.055,0.035,4.3,,,5.2,3.4,1,1,4407,14560,1449.2,1501.6,"",,,,5.2,4.2,,,,,,,0.05,0.04,,,4.77,3.84,
"E02",Absolute Quantification,"ABS","13751",Ch1Unknown,"rs1941702_G","Manual",5.1,ddPCR Supermix for Probes (no dUTP),102,,,6.3,4.1,86,19643,6,80,1681,17962,0,19729,,,,,,,,0.049,,,0.06,0.038,4.7,,,5.6,3.7,1,1,4407,14929,1444,1502.8,"",,,,5.7,4.6,,,,,,,0.054,0.043,,,5.15,4.17,
"F02",Absolute Quantification,"ABS","13751",Ch1Unknown,"rs1941702_G","Manual",3.9,ddPCR Supermix for Probes (no dUTP),78,,,4.8,3,70,21305,8,62,1790,19515,0.127,21375,,,,,,,,0.037,,,0.046,0.028,3.6,,,4.4,2.8,1,1,4407,14848,1479.7,1523.4,"",,,,4.34,3.42,,,,,,,0.0419,0.0328,,,4.02,3.18,
"G02",Absolute Quantification,"ABS","13751",Ch1Unknown,"rs1941702_G","Manual",5,ddPCR Supermix for Probes (no dUTP),100,,,6.2,4,79,18546,6,73,1378,17168,0.00888,18625,,,,,,,,0.055,,,0.068,0.043,5.2,,,6.3,4.1,1,1,4407,14458,1518.8,1573.7,"",,,,5.6,4.5,,,,,,,0.061,0.049,,,5.8,4.6,
"H02",Absolute Quantification,"ABS","19RG-347G0040",Ch1Unknown,"rs1941702_G","Manual",308,ddPCR Supermix for Probes (no dUTP),6160,,,316,299,4948,16554,1159,3789,3840,12714,0.8,21502,,,,,,,,0.988,,,1.027,0.949,49.7,,,50.7,48.7,1,1,5590,16941,1593.5,5125.2,"",,,,312.1,303.3,,,,,,,1.008,0.968,,,50.2,49.2,
"A03",Absolute Quantification,"ABS","19RG-347G0040",Ch1Unknown,"rs1941702_G","Manual",314,ddPCR Supermix for Probes (no dUTP),6280,,,323,305,4705,15385,1127,3578,3576,11809,2.55,20090,,,,,,,,1,,,1.041,0.96,50,,,51,49,1,1,5590,17011,1577.6,5192,"",,,,318.5,309.3,,,,,,,1.021,0.98,,,50.5,49.5,
"B03",Absolute Quantification,"ABS","NTC",Ch1Unknown,"rs1941702_G","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20973,0,0,0,20973,0,20973,,,,,,,,,,,,,,,,,,1,1,5590,0,1385.4,1385.4,"",,,,0.077,0,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","NTC",Ch1Unknown,"rs1941702_G","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,21231,0,0,0,21231,0,21231,,,,,,,,,,,,,,,,,,1,1,5590,0,1303.1,1303.1,"",,,,0.076,0,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","13751",Ch2Unknown,"rs1941702_C","Manual",101.5,ddPCR Supermix for Probes (no dUTP),2030,,,106.1,96.8,1835,20371,11,61,1824,20310,0.293,22206,,,,,,,,0.038,,,0.047,0.029,3.6,,,4.5,2.8,1,1,3341,7548.2,1738.2,2218.3,"",,,,103.8,99.1,,,,,,,0.0422,0.0331,,,4.05,3.21,
