Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","13857",Ch1Unknown,"rs1941702_G",,2.22,ddPCR Supermix for Probes (no dUTP),,2.49,1.95,2.49,1.95,256,135680,8,248,3131,132549,0.0185,135936,,,,,,,,0.081,0.091,0.07,0.091,0.07,7.5,8.3,6.5,8.3,6.6,1,1,,,,,"","(D03,E03,F03,G03,H03,A04)",2.36,2.08,2.36,2.08,,,,,0.086,0.075,0.086,0.075,7.92,6.96,7.92,7.02,
"M02",Absolute Quantification,"ABS","16883",Ch1Unknown,"rs1941702_G",,22.1,ddPCR Supermix for Probes (no dUTP),,23.3,20.8,23,21.1,2114,111647,3,2111,124,111523,0.00675,113761,,,,,,,,16.8,19.8,13.1,19.8,13.8,94.4,95.5,93.4,95.3,93.4,1,1,,,,,"","(B04,C04,D04,E04,F04)",22.7,21.4,22.55,21.59,,,,,18.3,14.5,18.3,15.3,95,93.9,94.86,93.9,
"M03",Absolute Quantification,"ABS","NTC",Ch1Unknown,"rs1941702_G",,0.008,ddPCR Supermix for Probes (no dUTP),,0.036,-0.008,0.036,0,1,154589,1,0,0,154589,0.00761,154590,,,,,,,,1,,,4.3,0,50,,,130,0,1,1,,,,,"","(G04,E05,F05,G05,H05,A06,B06)",0.019,0,0.019,0.002,,,,,,,2.6,0,,,89,11,
"M04",Absolute Quantification,"ABS","20806",Ch1Unknown,"rs1941702_G",,29.7,ddPCR Supermix for Probes (no dUTP),,31.1,28.2,31.1,28.2,1667,65273,0,1667,102,65171,0,66940,,,,,,,,16.5,24,10,19.8,13.2,94.3,96.4,92.4,95.4,93.2,1,1,,,,,"","(H04,A05,B05)",30.4,28.9,30.4,28.9,,,,,20.6,13.3,18.2,14.9,95.4,93.4,94.8,93.7,
"M05",Absolute Quantification,"ABS","19RG-347G0040",Ch1Unknown,"rs1941702_G",,224,ddPCR Supermix for Probes (no dUTP),,229,219,229,219,7803,37203,1317,6486,6358,30845,0,45006,,,,,,,,1.018,1.054,0.982,1.051,0.986,50.5,51.3,49.6,51.2,49.7,1,1,,,,,"","(C05,D05)",226.6,221.4,226.5,221.5,,,,,1.036,0.999,1.035,1.002,50.91,50,50.86,50.05,
"M01",Absolute Quantification,"ABS","13857",Ch2Unknown,"rs1941702_C",,27.5,ddPCR Supermix for Probes (no dUTP),,28.6,26.3,28.4,26.5,3139,132797,8,248,3131,132549,0.0185,135936,,,,,,,,0.081,0.091,0.07,0.091,0.07,7.5,8.3,6.5,8.3,6.6,1,1,,,,,"","(D03,E03,F03,G03,H03,A04)",28.1,26.9,27.98,26.99,,,,,0.086,0.075,0.086,0.075,7.92,6.96,7.92,7.02,
"M02",Absolute Quantification,"ABS","16883",Ch2Unknown,"rs1941702_C",,1.31,ddPCR Supermix for Probes (no dUTP),,1.54,1.09,1.54,1.09,127,113634,3,2111,124,111523,0.00675,113761,,,,,,,,16.8,19.8,13.1,19.8,13.8,94.4,95.5,93.4,95.3,93.4,1,1,,,,,"","(B04,C04,D04,E04,F04)",1.43,1.2,1.43,1.2,,,,,18.3,14.5,18.3,15.3,95,93.9,94.86,93.9,
"M03",Absolute Quantification,"ABS","NTC",Ch2Unknown,"rs1941702_C",,0.008,ddPCR Supermix for Probes (no dUTP),,0.036,-0.008,0.036,0,1,154589,1,0,0,154589,0.00761,154590,,,,,,,,1,,,4.3,0,50,,,130,0,1,1,,,,,"","(G04,E05,F05,G05,H05,A06,B06)",0.019,0,0.019,0.002,,,,,,,2.6,0,,,89,11,
"M04",Absolute Quantification,"ABS","20806",Ch2Unknown,"rs1941702_C",,1.79,ddPCR Supermix for Probes (no dUTP),,2.6,1.1,2.14,1.45,102,66838,0,1667,102,65171,0,66940,,,,,,,,16.5,24,10,19.8,13.2,94.3,96.4,92.4,95.4,93.2,1,1,,,,,"","(H04,A05,B05)",2.19,1.42,1.97,1.62,,,,,20.6,13.3,18.2,14.9,95.4,93.4,94.8,93.7,
"M05",Absolute Quantification,"ABS","19RG-347G0040",Ch2Unknown,"rs1941702_C",,220,ddPCR Supermix for Probes (no dUTP),,224.9,215,224.9,215,7675,37331,1317,6486,6358,30845,0,45006,,,,,,,,1.018,1.054,0.982,1.051,0.986,50.5,51.3,49.6,51.2,49.7,1,1,,,,,"","(C05,D05)",222.5,217.5,222.5,217.5,,,,,1.036,0.999,1.035,1.002,50.91,50,50.86,50.05,
"D03",Absolute Quantification,"ABS","13857",Ch1Unknown,"rs1941702_G","Manual",2.3,ddPCR Supermix for Probes (no dUTP),46,,,3.1,1.7,45,22867,1,44,499,22368,0.000946,22912,,,,,,,,0.089,,,0.116,0.062,8.2,,,10.5,5.9,1,1,2683,8838.2,556.05,572.32,"",,,,2.67,1.99,,,,,,,0.103,0.075,,,9.3,7,
"E03",Absolute Quantification,"ABS","13857",Ch1Unknown,"rs1941702_G","Manual",2.4,ddPCR Supermix for Probes (no dUTP),48,,,3.1,1.8,46,22665,0,46,517,22148,0,22711,,,,,,,,0.088,,,0.115,0.061,8.1,,,10.3,5.8,1,1,2683,8780.4,565.37,582.01,"",,,,2.75,2.05,,,,,,,0.102,0.075,,,9.2,6.9,
