Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","14637",Ch1Unknown,"HbS",,20.4,ddPCR Supermix for Probes (no dUTP),,21.4,19.5,21.3,19.6,2280,130182,41,2239,2260,127922,0.0128,132462,,,,,,,,0.99,1.05,0.93,1.05,0.93,49.8,51.2,48.3,51.2,48.3,1,1,,,,,"","(A01,B01,C01,D01,E01,F01)",20.9,19.96,20.85,20,,,,,1.02,0.959,1.02,0.962,50.5,49,50.5,49,
"M02",Absolute Quantification,"ABS","18001",Ch1Unknown,"HbS",,15.2,ddPCR Supermix for Probes (no dUTP),,16,14.5,16,14.5,1660,127357,20,1640,1653,125704,0,129017,,,,,,,,0.99,1.06,0.92,1.06,0.92,49.8,51.5,48.1,51.5,48.1,1,1,,,,,"","(G01,H01,A02,B02,C02,D02)",15.63,14.84,15.61,14.86,,,,,1.027,0.952,1.027,0.958,50.7,48.9,50.7,48.9,
"M03",Absolute Quantification,"ABS","19153",Ch1Unknown,"HbS",,28.5,ddPCR Supermix for Probes (no dUTP),,29.4,27.5,29.4,27.5,3159,129046,80,3079,2841,126205,0.0951,132205,,,,,,,,1.08,1.15,1.01,1.14,1.03,52,53.6,50.4,53.2,50.7,1,1,,,,,"","(A03,B03,E02,F02,G02,H02)",29,27.9,29,27.9,,,,,1.113,1.043,1.11,1.055,52.8,51.2,52.6,51.3,
"M04",Absolute Quantification,"ABS","19RG-220G0190",Ch1Unknown,"HbS",,124.3,ddPCR Supermix for Probes (no dUTP),,127.9,120.7,127.9,120.7,4529,40636,481,4048,4067,36569,0.803,45165,,,,,,,,0.996,1.037,0.955,1.037,0.955,49.9,50.9,48.9,50.9,48.9,1,1,,,,,"","(C03,D03)",126.2,122.5,126.2,122.5,,,,,1.017,0.975,1.017,0.975,50.4,49.4,50.4,49.4,
"M05",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS",,0,ddPCR Supermix for Probes (no dUTP),,0.081,0,0.081,0,0,43390,0,0,0,43390,0,43390,,,,,,,,0,,,0,0,0,,,0,0,1,1,,,,,"","(E03,F03)",0.037,0,0.037,0,,,,,,,0,0,,,0,0,
"M01",Absolute Quantification,"ABS","14637",Ch2Unknown,"HbA",,20.6,ddPCR Supermix for Probes (no dUTP),,21.5,19.8,21.5,19.8,2301,130161,41,2239,2260,127922,0.0128,132462,,,,,,,,0.99,1.05,0.93,1.05,0.93,49.8,51.2,48.3,51.2,48.3,1,1,,,,,"","(A01,B01,C01,D01,E01,F01)",21.05,20.19,21.05,20.19,,,,,1.02,0.959,1.02,0.962,50.5,49,50.5,49,
"M02",Absolute Quantification,"ABS","18001",Ch2Unknown,"HbA",,15.4,ddPCR Supermix for Probes (no dUTP),,16.1,14.6,16.1,14.6,1673,127344,20,1640,1653,125704,0,129017,,,,,,,,0.99,1.06,0.92,1.06,0.92,49.8,51.5,48.1,51.5,48.1,1,1,,,,,"","(G01,H01,A02,B02,C02,D02)",15.73,14.98,15.73,14.98,,,,,1.027,0.952,1.027,0.958,50.7,48.9,50.7,48.9,
"M03",Absolute Quantification,"ABS","19153",Ch2Unknown,"HbA",,26.3,ddPCR Supermix for Probes (no dUTP),,27.6,25,27.2,25.3,2921,129284,80,3079,2841,126205,0.0951,132205,,,,,,,,1.08,1.15,1.01,1.14,1.03,52,53.6,50.4,53.2,50.7,1,1,,,,,"","(A03,B03,E02,F02,G02,H02)",27,25.6,26.77,25.8,,,,,1.113,1.043,1.11,1.055,52.8,51.2,52.6,51.3,
"M04",Absolute Quantification,"ABS","19RG-220G0190",Ch2Unknown,"HbA",,124.9,ddPCR Supermix for Probes (no dUTP),,128.5,121.2,128.5,121.2,4548,40617,481,4048,4067,36569,0.803,45165,,,,,,,,0.996,1.037,0.955,1.037,0.955,49.9,50.9,48.9,50.9,48.9,1,1,,,,,"","(C03,D03)",126.7,123,126.7,123,,,,,1.017,0.975,1.017,0.975,50.4,49.4,50.4,49.4,
"M05",Absolute Quantification,"ABS","NTC",Ch2Unknown,"HbA",,0,ddPCR Supermix for Probes (no dUTP),,0.081,0,0.081,0,0,43390,0,0,0,43390,0,43390,,,,,,,,0,,,0,0,0,,,0,0,1,1,,,,,"","(E03,F03)",0.037,0,0.037,0,,,,,,,0,0,,,0,0,
