Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
M01,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,,14.53,ddPCR Supermix for Probes (no dUTP),,15.1,13.9,15.01,14.04,3422,275422,229,3193,17699,257723,0.041,278844,,,,,,,,0.186,0.193,0.177,0.193,0.179,15.67,16.2,15.1,16.15,15.19,1,1,,,,,,"(A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02,E02,F02)",14.84,14.18,14.78,14.28,,,,,0.1893,0.1811,0.1893,0.1823,15.92,15.36,15.92,15.42
M02,Absolute Quantification,ABS,16881,Ch1Unknown,ZFY,,0.36,ddPCR Supermix for Probes (no dUTP),,0.44,0.28,0.44,0.29,81,265555,0,81,2471,263084,0,265636,,,,,,,,0.033,0.04,0.021,0.04,0.025,3.2,3.8,2.1,3.8,2.5,1,1,,,,,,"(A03,A04,B03,B04,C03,C04,D03,E03,F03,G02,G03,H02,H03)",0.4,0.315,0.4,0.321,,,,,0.036,0.025,0.0363,0.029,3.5,2.4,3.5,2.82
M03,Absolute Quantification,ABS,13965,Ch1Unknown,ZFY,,0.29,ddPCR Supermix for Probes (no dUTP),,0.36,0.23,0.36,0.23,73,294107,0,73,2739,291368,0,294180,,,,,,,,0.027,0.033,0.017,0.033,0.02,2.6,3.2,1.7,3.2,2,1,1,,,,,,"(A05,A06,B05,B06,C05,D05,E04,E05,F04,F05,G04,G05,H04,H05)",0.327,0.259,0.327,0.259,,,,,0.0297,0.0202,0.0297,0.0234,2.88,2,2.88,2.29
M04,Absolute Quantification,ABS,C231,Ch1Unknown,ZFY,,150,ddPCR Supermix for Probes (no dUTP),,161,139,153,147,9524,70023,1152,8372,8705,61318,0,79547,,,,,,,,0.964,0.991,0.936,0.991,0.937,49.1,49.8,48.4,49.8,48.4,1,1,,,,,,"(A07,B07,C07,D07)",156,144,151.6,148.5,,,,,0.978,0.95,0.978,0.95,49.44,48.72,49.44,48.72
M05,Absolute Quantification,ABS,NTC,Ch1Unknown,ZFY,,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,2,286760,0,2,2,286758,0,286762,,,,,,,,,,,,,,,,,,1,1,,,,,,"(A08,A09,B08,B09,C08,D04,D08,E07,E08,F07,F08,G07,G08,H07,H08)",,,,,,,,,,,,,,,,
M06,Absolute Quantification,ABS,18385,Ch1Unknown,ZFY,,1.37,ddPCR Supermix for Probes (no dUTP),,1.6,1.15,1.6,1.15,144,123358,5,139,2446,120912,0.0208,123502,,,,,,,,0.058,0.068,0.047,0.068,0.048,5.5,6.4,4.5,6.4,4.6,1,1,,,,,,"(C06,D06,E06,F06,G06,H06)",1.49,1.26,1.49,1.26,,,,,0.063,0.052,0.0632,0.0532,5.95,4.96,5.95,5.05
M01,Absolute Quantification,ABS,12585,Ch2Unknown,ZFX,,78.2,ddPCR Supermix for Probes (no dUTP),,82.4,73.9,79.3,77,17928,260916,229,3193,17699,257723,0.041,278844,,,,,,,,0.186,0.193,0.177,0.193,0.179,15.67,16.2,15.1,16.15,15.19,1,1,,,,,,"(A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02,E02,F02)",80.3,76,78.8,77.6,,,,,0.1893,0.1811,0.1893,0.1823,15.92,15.36,15.92,15.42
M02,Absolute Quantification,ABS,16881,Ch2Unknown,ZFX,,10.99,ddPCR Supermix for Probes (no dUTP),,11.43,10.56,11.43,10.56,2471,263165,0,81,2471,263084,0,265636,,,,,,,,0.033,0.04,0.021,0.04,0.025,3.2,3.8,2.1,3.8,2.5,1,1,,,,,,"(A03,A04,B03,B04,C03,C04,D03,E03,F03,G02,G03,H02,H03)",11.22,10.77,11.22,10.77,,,,,0.036,0.025,0.0363,0.029,3.5,2.4,3.5,2.82
M03,Absolute Quantification,ABS,13965,Ch2Unknown,ZFX,,11,ddPCR Supermix for Probes (no dUTP),,11.5,10.5,11.42,10.59,2739,291441,0,73,2739,291368,0,294180,,,,,,,,0.027,0.033,0.017,0.033,0.02,2.6,3.2,1.7,3.2,2,1,1,,,,,,"(A05,A06,B05,B06,C05,D05,E04,E05,F04,F05,G04,G05,H04,H05)",11.26,10.74,11.22,10.79,,,,,0.0297,0.0202,0.0297,0.0234,2.88,2,2.88,2.29
M04,Absolute Quantification,ABS,C231,Ch2Unknown,ZFX,,155.6,ddPCR Supermix for Probes (no dUTP),,167,144,158.7,152.6,9857,69690,1152,8372,8705,61318,0,79547,,,,,,,,0.964,0.991,0.936,0.991,0.937,49.1,49.8,48.4,49.8,48.4,1,1,,,,,,"(A07,B07,C07,D07)",161,149,157.2,154.1,,,,,0.978,0.95,0.978,0.95,49.44,48.72,49.44,48.72
M05,Absolute Quantification,ABS,NTC,Ch2Unknown,ZFX,,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,2,286760,0,2,2,286758,0,286762,,,,,,,,,,,,,,,,,,1,1,,,,,,"(A08,A09,B08,B09,C08,D04,D08,E07,E08,F07,F08,G07,G08,H07,H08)",,,,,,,,,,,,,,,,
M06,Absolute Quantification,ABS,18385,Ch2Unknown,ZFX,,23.6,ddPCR Supermix for Probes (no dUTP),,25.5,22,24.5,22.6,2451,121051,5,139,2446,120912,0.0208,123502,,,,,,,,0.058,0.068,0.047,0.068,0.048,5.5,6.4,4.5,6.4,4.6,1,1,,,,,,"(C06,D06,E06,F06,G06,H06)",24.6,22.8,24.06,23.11,,,,,0.063,0.052,0.0632,0.0532,5.95,4.96,5.95,5.05
A01,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,Manual,15.5,ddPCR Supermix for Probes (no dUTP),310,,,17.4,13.6,258,19463,18,240,1207,18256,0.127,19721,,,,,,,,0.205,,,0.233,0.178,17,,,18.9,15.1,1,1,3475,11454,1982.3,2106.2,,,,,16.5,14.5,,,,,,,0.219,0.191,,,18,16.1
B01,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,Manual,15.1,ddPCR Supermix for Probes (no dUTP),302,,,16.9,13.3,260,20117,25,235,1343,18774,0.473,20377,,,,,,,,0.185,,,0.209,0.16,15.6,,,17.3,13.9,1,1,3475,11067,1886.3,2003.4,,,,,16,14.2,,,,,,,0.197,0.172,,,16.5,14.7
C01,Absolute Quantification,ABS,12585,Ch1Unknown,ZFY,Manual,14.2,ddPCR Supermix for Probes (no dUTP),284,,,15.9,12.4,247,20410,14,233,1414,18996,0,20657,,,,,,,,0.168,,,0.191,0.145,14.4,,,16,12.7,1,1,3475,11323,1961.3,2073.3,,,,,15.1,13.3,,,,,,,0.179,0.156,,,15.2,13.5
