Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","19711",Ch1Unknown,"FGFR2 c.1024_T",,3.68,ddPCR Supermix for Probes (no dUTP),,3.89,3.46,3.89,3.46,1129,360614,1,1128,1008,359606,0,361743,,,,,,,,1.12,1.21,0.98,1.21,1.02,52.8,55,50.7,54.9,50.7,1,1,,,,,"","(E03,F03,G03,H03,A04,B04,C04,D04,E04,F04,G04,H04,A05,B05,C05,D05,E05)",3.79,3.57,3.79,3.57,,,,,1.17,1.03,1.168,1.071,54,51.7,53.9,51.7,
"M02",Absolute Quantification,"ABS","20RG-148G0080",Ch1Unknown,"FGFR2 c.1024_T",,148.7,ddPCR Supermix for Probes (no dUTP),,152,145.4,152,145.4,7840,58207,951,6889,6994,51213,0.182,66047,,,,,,,,0.986,1.017,0.955,1.017,0.955,49.6,50.4,48.9,50.4,48.9,1,1,,,,,"","(F05,G05,H05)",150.3,147,150.3,147,,,,,1.002,0.97,1.002,0.97,50.04,49.25,50.04,49.25,
"M03",Absolute Quantification,"ABS","NTC",Ch1Unknown,"FGFR2 c.1024_T",,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,62119,0,0,0,62119,0,62119,,,,,,,,,,,,,,,,,,1,1,,,,,"","(D06,E06,F06)",,,,,,,,,,,,,,,,,
"M01",Absolute Quantification,"ABS","19711",Ch2Unknown,"FGFR2 c.1024_A",,3.29,ddPCR Supermix for Probes (no dUTP),,3.51,3.05,3.49,3.08,1009,360734,1,1128,1008,359606,0,361743,,,,,,,,1.12,1.21,0.98,1.21,1.02,52.8,55,50.7,54.9,50.7,1,1,,,,,"","(E03,F03,G03,H03,A04,B04,C04,D04,E04,F04,G04,H04,A05,B05,C05,D05,E05)",3.4,3.17,3.39,3.18,,,,,1.17,1.03,1.168,1.071,54,51.7,53.9,51.7,
"M02",Absolute Quantification,"ABS","20RG-148G0080",Ch2Unknown,"FGFR2 c.1024_A",,150.8,ddPCR Supermix for Probes (no dUTP),,156,146,154.1,147.5,7945,58102,951,6889,6994,51213,0.182,66047,,,,,,,,0.986,1.017,0.955,1.017,0.955,49.6,50.4,48.9,50.4,48.9,1,1,,,,,"","(F05,G05,H05)",153.7,148.2,152.5,149.1,,,,,1.002,0.97,1.002,0.97,50.04,49.25,50.04,49.25,
"M03",Absolute Quantification,"ABS","NTC",Ch2Unknown,"FGFR2 c.1024_A",,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,62119,0,0,0,62119,0,62119,,,,,,,,,,,,,,,,,,1,1,,,,,"","(D06,E06,F06)",,,,,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","19711",Ch1Unknown,"FGFR2 c.1024_T","Manual",3.3,ddPCR Supermix for Probes (no dUTP),66,,,4.2,2.5,60,21533,0,60,55,21478,0,21593,,,,,,,,1.09,,,1.49,0.69,52,,,61,43,1,1,1203,9284.7,219.18,244.37,"",,,,3.71,2.87,,,,,,,1.29,0.89,,,56.8,47.5,
"F03",Absolute Quantification,"ABS","19711",Ch1Unknown,"FGFR2 c.1024_T","Manual",3.7,ddPCR Supermix for Probes (no dUTP),74,,,4.8,2.9,63,19752,0,63,70,19682,0,19815,,,,,,,,0.9,,,1.21,0.59,47,,,56,39,1,1,702,9286.9,225.44,254.25,"",,,,4.24,3.3,,,,,,,1.06,0.74,,,51.7,43,
"G03",Absolute Quantification,"ABS","19711",Ch1Unknown,"FGFR2 c.1024_T","Manual",3.8,ddPCR Supermix for Probes (no dUTP),76,,,4.7,2.9,68,21260,0,68,57,21203,0,21328,,,,,,,,1.19,,,1.62,0.77,54,,,63,46,1,1,673,9307.9,214.28,243.27,"",,,,4.23,3.32,,,,,,,1.41,0.98,,,58.9,50,
"H03",Absolute Quantification,"ABS","19711",Ch1Unknown,"FGFR2 c.1024_T","Manual",3.5,ddPCR Supermix for Probes (no dUTP),70,,,4.4,2.7,64,21746,0,64,68,21678,0,21810,,,,,,,,0.94,,,1.26,0.62,48,,,57,40,1,1,1503,9265,217.68,244.23,"",,,,3.91,3.04,,,,,,,1.1,0.78,,,52.8,44.1,
