Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","30173",Ch1Unknown,"HbS",,19.1,ddPCR Supermix for Probes (no dUTP),,20.7,17.4,20,18.2,1839,112368,26,1813,1564,110804,0.00422,114207,,,,,,,,1.16,1.24,1.08,1.24,1.08,53.7,55.3,52,55.3,52,1,1,,,,,"","(A01,B01,C01,D01,E01)",19.9,18.2,19.54,18.65,,,,,1.198,1.116,1.198,1.118,54.5,52.8,54.5,52.8,
"M02",Absolute Quantification,"ABS","21RG-062G0114",Ch1Unknown,"HbS",,191.4,ddPCR Supermix for Probes (no dUTP),,198,185,194.4,188.5,15838,89629,2385,13453,13465,76164,0.0742,105467,,,,,,,,0.999,1.031,0.967,1.021,0.977,50,50.8,49.2,50.5,49.4,1,1,,,,,"","(F01,G01,H01,A02,B02)",194.8,187.9,193,189.9,,,,,1.015,0.982,1.01,0.988,50.38,49.57,50.26,49.7,
"M03",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS",,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,100230,0,0,0,100230,0,100230,,,,,,,,,,,,,,,,,,1,1,,,,,"","(A03,B03,C03,D03,H02)",,,,,,,,,,,,,,,,,
"M04",Absolute Quantification,"ABS","30173",Ch1Unknown,"rs1941702_G",,32,ddPCR Supermix for Probes (no dUTP),,34.4,29.6,33.2,30.9,2954,107096,4,2950,116,106980,0.00857,110050,,,,,,,,24.9,31,17,29.5,20.4,96.1,97.3,95.2,96.8,95.5,1,1,,,,,"","(A04,E03,F03,G03,H03)",33.2,30.8,32.6,31.4,,,,,27.5,20.4,27.3,22.6,96.8,95.7,96.49,95.8,
"M05",Absolute Quantification,"ABS","21RG-062G0120",Ch1Unknown,"rs1941702_G",,0,ddPCR Supermix for Probes (no dUTP),,0.037,0,0.037,0,0,95355,0,0,28310,67045,0,95355,,,,,,,,0,,,0,0,0,,,0.0045,0,1,1,,,,,"","(A05,B05,C05,G04,H04)",0.017,0,0.017,0,,,,,,,0,0,,,0.002,0,
"M06",Absolute Quantification,"ABS","21RG-062G0114",Ch1Unknown,"rs1941702_G",,343.3,ddPCR Supermix for Probes (no dUTP),,347.9,338.7,347.9,338.7,21334,62959,0,21334,0,62959,0,84293,,,,,,,,1000000,,,1000000,0,100,,,100.006,99.994,1,1,,,,,"","(B04,C04,D04,E04,F04)",345.7,341,345.7,341,,,,,,,1000000,0,,,100.0028,99.9972,
"M07",Absolute Quantification,"ABS","21RG-062G0120",Ch1Unknown,"HbS",,219.6,ddPCR Supermix for Probes (no dUTP),,222.9,216.4,222.9,216.4,17603,85764,3025,14578,14706,71058,0.0907,103367,,,,,,,,0.992,1.013,0.971,1.013,0.971,49.8,50.3,49.3,50.3,49.3,1,1,,,,,"","(C02,D02,E02,F02,G02)",221.3,218,221.3,218,,,,,1.003,0.981,1.003,0.981,50.07,49.53,50.07,49.53,
"M08",Absolute Quantification,"ABS","NTC",Ch1Unknown,"rs1941702_G",,0.012,ddPCR Supermix for Probes (no dUTP),,0.059,-0.014,0.059,0.001,1,95455,0,1,0,95455,0,95456,,,,,,,,1000000,,,1000000,0,100,,,250,0,1,1,,,,,"","(D05,E05,F05,G05,H05)",0.031,0,0.031,0.003,,,,,,,1000000,0,,,170,30,
"M01",Absolute Quantification,"ABS","30173",Ch2Unknown,"HbA",,16.5,ddPCR Supermix for Probes (no dUTP),,18.3,14.6,17.3,15.7,1590,112617,26,1813,1564,110804,0.00422,114207,,,,,,,,1.16,1.24,1.08,1.24,1.08,53.7,55.3,52,55.3,52,1,1,,,,,"","(A01,B01,C01,D01,E01)",17.4,15.5,16.91,16.08,,,,,1.198,1.116,1.198,1.118,54.5,52.8,54.5,52.8,
"M02",Absolute Quantification,"ABS","21RG-062G0114",Ch2Unknown,"HbA",,191.6,ddPCR Supermix for Probes (no dUTP),,196.3,186.7,194.6,188.6,15850,89617,2385,13453,13465,76164,0.0742,105467,,,,,,,,0.999,1.031,0.967,1.021,0.977,50,50.8,49.2,50.5,49.4,1,1,,,,,"","(F01,G01,H01,A02,B02)",194,189.1,193.1,190.1,,,,,1.015,0.982,1.01,0.988,50.38,49.57,50.26,49.7,
